order_number	order_date	sales_associate	customer	products/quantities	total_sale
CHA-CHING-0000471	2013-08-14	Sandra E. Ramsey	Yasir T. Fischer	GRMZM0000004:48,GRMZM0000070:19,GRMZM0000006:67,GRMZM0000052:14,GRMZM0000085:92,GRMZM0000067:2	199.07
CHA-CHING-0000472	2013-08-14	Nolan E. Ward	Liberty C. Mclaughlin	GRMZM0000093:38,GRMZM0000092:18,GRMZM0000064:5,GRMZM0000052:42,GRMZM0000059:12	96.73
CHA-CHING-0000473	2013-08-29	Nolan E. Ward	Carolyn A. Burt	GRMZM0000059:33,GRMZM0000095:51	86.13
CHA-CHING-0000474	2013-09-04	Ingrid A. Reynolds	Linda G. Farmer	GRMZM0000024:91,GRMZM0000016:32	133.01
CHA-CHING-0000475	2013-09-13	Hedley G. Trujillo	Nathan L. Avila	GRMZM0000078:3,GRMZM0000065:33,GRMZM0000063:73	116.79
CHA-CHING-0000476	2013-09-14	Nolan E. Ward	James Y. Mullen	GRMZM0000078:85,GRMZM0000051:12,GRMZM0000017:84,GRMZM0000072:75,GRMZM0000075:24	195.75
CHA-CHING-0000477	2013-09-30	Nolan E. Ward	Rahim N. Daugherty	GRMZM0000035:89,GRMZM0000092:100,GRMZM0000046:39	66.41
CHA-CHING-0000478	2013-10-15	Ingrid A. Reynolds	Scarlett Z. Marks	GRMZM0000033:16,GRMZM0000074:74,GRMZM0000025:10,GRMZM0000021:30	59.6
CHA-CHING-0000479	2013-11-06	Ingrid A. Reynolds	Francis K. Pollard	GRMZM0000007:91,GRMZM0000014:28,GRMZM0000048:55,GRMZM0000017:76,GRMZM0000067:4,GRMZM0000034:19	186.86
CHA-CHING-0000480	2013-11-26	Hayley W. Harrell	Kadeem D. Herrera	GRMZM0000096:16,GRMZM0000023:29,GRMZM0000043:18,GRMZM0000038:80	142.23
CHA-CHING-0000481	2013-12-17	Ingrid A. Reynolds	Colorado P. Daniel	GRMZM0000017:97,GRMZM0000010:45	56.84
CHA-CHING-0000482	2013-12-23	Nolan E. Ward	Cameron J. Shaffer	GRMZM0000071:6,GRMZM0000090:97,GRMZM0000014:93,GRMZM0000022:18,GRMZM0000075:46,GRMZM0000011:34	89.88
CHA-CHING-0000483	2014-01-08	Jocelyn Z. Parsons	Cameron S. Kaufman	GRMZM0000010:60,GRMZM0000062:48,GRMZM0000049:25,GRMZM0000082:45,GRMZM0000036:90,GRMZM0000025:42	220.24
CHA-CHING-0000484	2014-01-30	Ingrid A. Reynolds	Ava Y. Morrow	GRMZM0000012:53,GRMZM0000037:85,GRMZM0000082:31,GRMZM0000074:65	64.05
CHA-CHING-0000485	2014-02-12	Hedley G. Trujillo	Nathan L. Avila	GRMZM0000062:61,GRMZM0000034:91,GRMZM0000066:78,GRMZM0000088:3,GRMZM0000026:12	129.65
CHA-CHING-0000486	2014-03-04	Sandra E. Ramsey	Dai J. Fields	GRMZM0000025:58,GRMZM0000049:26,GRMZM0000025:10,GRMZM0000067:47	72.8
CHA-CHING-0000487	2014-03-08	Brennan J. Morris	Sharon U. Peck	GRMZM0000063:95,GRMZM0000066:13,GRMZM0000052:75,GRMZM0000033:54,GRMZM0000029:89	292.23
CHA-CHING-0000488	2014-03-11	Nolan E. Ward	Kay P. Ashley	GRMZM0000034:24,GRMZM0000098:73,GRMZM0000011:8,GRMZM0000087:47	43.88
CHA-CHING-0000489	2014-03-13	Brennan J. Morris	Dai J. Fields	GRMZM0000078:17,GRMZM0000087:89,GRMZM0000035:41,GRMZM0000059:55	169.79
CHA-CHING-0000490	2014-03-18	Haviva N. Glenn	Kadeem D. Herrera	GRMZM0000026:9,GRMZM0000091:98,GRMZM0000095:27	156.95
CHA-CHING-0000491	2014-03-19	Hayley W. Harrell	Scarlett Z. Marks	GRMZM0000074:43,GRMZM0000025:7,GRMZM0000025:16,GRMZM0000061:35,GRMZM0000041:91,GRMZM0000055:39	179.51
CHA-CHING-0000492	2014-03-30	Macaulay U. Shaw	Iris W. Workman	GRMZM0000077:75,GRMZM0000019:74,GRMZM0000033:96,GRMZM0000052:27,GRMZM0000052:66	187.49
CHA-CHING-0000493	2014-04-01	Hayley W. Harrell	Nathan L. Avila	GRMZM0000027:59,GRMZM0000019:41,GRMZM0000010:59,GRMZM0000027:54,GRMZM0000022:89	102.36
